Sample	tumor.purity	StromalScore	ImmuneScore	ESTIMATEScore	fit	lwr.p	upr.p
966	0.31	820.6239151	2492.968738	3313.592653	0.461258023	0.224091371	0.698424674
967	0.31	1095.946429	2229.966591	3325.91302	0.459652663	0.222478188	0.696827138
968	0.4	1000.465604	2330.661759	3331.127363	0.458972774	0.221794969	0.696150579
969	0.46	1007.975049	2324.341895	3332.316944	0.458817629	0.221639063	0.695996196
970	0.38	1365.573946	1968.807707	3334.381653	0.458548317	0.221368428	0.695728206
971	0.49	491.6675788	2852.310515	3343.978094	0.457296044	0.220109984	0.694482104
972	0.63	1234.590858	2114.992637	3349.583495	0.456564155	0.219374474	0.693753837
973	0.42	1167.39314	2212.724236	3380.117376	0.45257198	0.215362339	0.689781621
974	0.28	966.5086867	2428.680738	3395.189425	0.450598017	0.21337838	0.687817654
975	0.34	938.692735	2456.500144	3395.192879	0.450597564	0.213377925	0.687817203
976	0.51	1372.992185	2034.87407	3407.866255	0.448936044	0.211707927	0.686164161
977	0.56	1455.625235	2001.397909	3457.023144	0.44247677	0.205215134	0.679738407
978	0.21	859.7547139	2600.866319	3460.621033	0.442003094	0.204738964	0.679267224
979	0.44	2016.623218	1566.649973	3583.273191	0.425782608	0.18843021	0.663135005
980	0.63	1611.003385	1994.359913	3605.363298	0.422846418	0.185477444	0.660215393
981	0.27	899.8155127	2732.969952	3632.785465	0.419195317	0.181805474	0.656585159
982	0.39	1397.330489	2245.816539	3643.147028	0.417813964	0.180416152	0.655211775
983	0.29	1441.644801	2212.624378	3654.269179	0.416330137	0.178923721	0.653736554
984	0.33	1837.42954	1865.929199	3703.358739	0.409767806	0.172322774	0.647212839
985	0.17	1513.915429	2241.561915	3755.477344	0.402777272	0.165290105	0.640264439
986	0.21	1394.946196	2461.280992	3856.227188	0.389197486	0.151625536	0.626769436
987	0.36	1160.389039	2745.175485	3905.564524	0.382516213	0.144901137	0.620131289
988	0.69	1293.212655	2774.1553	4067.367955	0.360465847	0.122701898	0.598229796
989	0.27	1427.894772	2788.998029	4216.892802	0.339907738	0.101996069	0.577819407
990	0.13	1789.054454	2508.091473	4297.145927	0.328805611	0.090810649	0.566800572
991	0.33	1403.539279	2902.635444	4306.174722	0.327553693	0.089549186	0.5655582
992	0.17	1751.726227	2608.655194	4360.381421	0.320025465	0.081962909	0.558088021
993	0.74	1370.636813	3079.720858	4450.357671	0.307485064	0.069323363	0.545646765
994	0.22	1845.660623	2759.645657	4605.306281	0.285764692	0.047424159	0.524105226
995	0.2	1549.594453	3151.691485	4701.285938	0.272235604	0.033779227	0.510691981
